,concept,deps
51,Ohm's law,"['energy', 'conservation', 'law']"
52,Degenerate conic,"['parabola', 'curve']"
53,1,"['number', 'set', 'sum']"
54,Approximation theory,"['differential geometry', 'partial differential equations']"
55,Laplacian matrix,"['vector', 'space', 'matrix']"
56,Speed learning,"['learning', 'curve', 'learn']"
57,Variation of parameters,"['change', 'value', 'parameter']"
58,Associated Legendre polynomials,"['polynomial', 'root', 'combination']"
59,Right ascension,"['axis', 'circle', 'centre']"
60,Galois theory,"['group', 'ring', 'theory']"
61,Super-recursive algorithm,"['function', 'algorithm', 'problem']"
62,Canonical normal form,"['set', 'group', 'equivalence']"
63,Chemistry,"['set', 'reaction', 'chemical']"
64,Minimal polynomial (field theory),"['polynomial', 'zero', 'zeros']"
65,Earthquake engineering,['earthquake engineering']
66,Irrational number,"['number', 'number system']"
67,Analytic function,"['series', 'function', 'sum']"
68,Morphism,"['identity', 'function', 'object']"
69,Correlation coefficient,"['degree of correlation', 'measure']"
70,Dual space,"['metric', 'space', 'point']"
71,Laplace's equation,"['differential equation', 'function', 'solution']"
72,Strassen algorithm,"['algorithm', 'recursion', 'function']"
73,Ordinary differential equation,"['time', 'function', 'equation']"
74,Standard error,['a measure of the variability of a measurement']
75,Negative number,"['negative real number', 'real number']"
76,Resolution (logic),"['implication', 'syllogism', 'conclusion']"
77,Evaluation,"['point', 'function', 'value']"
78,Triangle inequality,"['polygon', 'length', 'triangle']"
79,Plane (geometry),"['surface', 'figure', 'draw']"
80,Tangent,"['convexity', 'concavity', 'curve']"
81,Transformation optics,"['model', 'light', 'transform']"
82,Rational root theorem,"['theorem', 'proof', 'concept']"
83,Directrix,"['line', 'x-axis', 'segment']"
84,Poynting vector,"['line of sight', 'vector']"
85,Vanishing point,"['point', 'curve', 'gradient']"
86,Maxwell's equations,"['field', 'electromagnetic', 'field theory']"
87,Scalar multiplication,['scalar multiplication']
88,Matrix equivalence,"['matrix', 'vector', 'interchange']"
89,Linear map,"['map', 'function', 'y']"
90,Distributive property,"['property', 'member', 'group']"
91,Geometric median,"['line segment', 'set', 'point']"
92,Crystal (mathematics),"['crystal', 'solid', 'crystalline']"
93,Perspective (geometry),"['line', 'point', 'sight']"
94,Sphere,"['surface', 'volume', 'spherical']"
95,Regression dilution,"['model', 'data', 'explain']"
96,Grover's algorithm,"['algorithm', 'recursion', 'function']"
97,Least squares,"['data', 'set', 'square']"
98,Monte Carlo method,"['sampling distribution', 'probability', 'random']"
99,Symplectic vector space,"['symplectic group', 'vector space']"
100,Vector (mathematics and physics),"['vector', 'quantity', 'direction']"
101,Diagonal matrix,"['matrix', 'element', 'diagonal']"
102,Ellipsis,"['ellipse', 'convex combination', 'curve']"
103,Moore–Penrose inverse,"['inverse', 'function', 'function']"
104,Spline (mathematics),"['curve', 'point', 'continuous']"
105,Graphene,"['atom', 'monolayer', 'carbon']"
106,Topological vector space,"['topology', 'vector space', 'order']"
107,Group testing,"['t-test', 'statistical technique']"
108,Cauchy matrix,"['group', 'matrix', 'element']"
109,Projection (mathematics),"['map', 'point', 'plane']"
110,Variance swap,"['swap', 'risk', 'change']"
111,Subtraction,"['operation', 'mathematical', 'concept']"
112,Reflectance,"['reflectance', 'surface', 'light']"
113,One-to-one (data model),"['mapping', 'entity', 'mapping']"
114,Norm (mathematics),"['mean', 'average', 'measure']"
115,Irreducibility (mathematics),"['property', 'set', 'element']"
116,Derivative,"['change', 'function', 'value']"
117,Self-similarity,"['property', 'structure', 'set']"
118,Adjacency matrix,"['matrix', 'element', 'original']"
119,Intersection graph,"['graph', 'point', 'intersection']"
120,Alternating multilinear map,"['state', 'map', 'alternate']"
121,Square root of a matrix,"['matrix', 'element', 'row']"
122,Randomized algorithm,"['algorithm', 'deterministic', 'random']"
123,Permutation test,"['set', 'element', 'permutation']"
124,Change of basis,"['change', 'system', 'number']"
125,Jordan measure,"['measure', 'distance', 'point']"
126,Half-life,"['half-life', 'time', 'interval']"
127,Canonical form,"['group', 'subset', 'element']"
128,Sage (philosophy),"['person', 'wise', 'concept']"
129,Helmholtz equation,"['differential equation', 'fluid', 'motion']"
130,Decoding methods,"['bit', 'channel', 'encode']"
131,Converse (logic),"['statement', 'truth', 'opposite']"
132,Parseval's identity,"['product', 'vector', 'scalar']"
133,North Korea,"['country', 'population', 'million']"
134,Axis,"['line', 'circle', 'center']"
135,Orthogonal functions,"['function', 'function', 'orthogonality']"
136,Resistance distance,"['measure', 'circuit', 'point']"
137,Resistor,"['device', 'resistance', 'current']"
138,Fisher transformation,"['symmetry', 'group', 'transformation']"
139,Restriction (mathematics),"['condition', 'solution', 'exist']"
140,MATLAB,"['programming', 'language', 'high']"
141,Square root,"['ratio', 'circle', 'diameter']"
142,Error correction code,"['error correction', 'code', 'data']"
143,Antimagic square,"['vertex', 'side', 'square']"
144,Orthogonality (mathematics),"['line', 'segment', 'perpendicular']"
145,Helmert transformation,"['symmetry', 'image', 'preserve']"
146,Division (mathematics),"['operation', 'number', 'reduce']"
147,Trajectory,"['path', 'body', 'follow']"
148,Vacuum solution (general relativity),"['field', 'solution', 'equation']"
149,Hamming weight,"['symmetry', 'measure']"
150,Erlangen program,"['set', 'function', 'equivalence']"
151,Structure constants,"['set', 'number', 'property']"
152,Point (geometry),"['line', 'segment', 'point']"
153,Musical isomorphism,"['mirror image', 'composition', 'mirror']"
154,Horner's method,"['polynomial', 'inverse', 'root']"
155,Sigma,"['constant', 'constant velocity', 'constant acceleration']"
156,Similarity invariance,"['property', 'set', 'object']"
157,Characteristic class,"['property', 'class', 'object']"
158,Golden rectangle,"['diagonal', 'length', 'width']"
159,Bounded inverse theorem,"['theorem', 'proof', 'concept']"
160,Linear dynamical system,"['time', 'function', 'equation']"
161,Chemical reaction network theory,"['reaction', 'model', 'chemical']"
162,Linear code,"['code', 'bit', 'combination']"
163,Infinite product,"['property', 'set', 'subset']"
164,Degeneracy (mathematics),"['degeneracy', 'set', 'subset']"
165,Intrinsic dimension,"['dimensional analysis', 'dimension', 'length']"
166,Quasi-arithmetic mean,"['mean', 'average', 'measure']"
167,General linear group,"['group', 'element', 'elemental']"
168,Tablet (pharmacy),"['dosage form', 'solid', 'form']"
169,Electrostatics,"['system', 'charge', 'interact']"
170,Regular expression,"['character', 'character sequence', 'character set']"
171,Sherman–Morrison formula,"['inverse', 'function', 'formula']"
172,John von Neumann,"['theorem', 'theorem proving', 'mathematician']"
173,Real analysis,"['theory', 'function', 'theory']"
174,Euclidean algorithm,"['algorithm', 'find', 'path']"
175,Conjugacy class,['class of all conjugacy classes']
176,Inverse function rule,"['inverse', 'function', 'rule']"
177,Conditional expectation,"['conditional statement', 'true if', 'statement']"
178,Steinitz exchange lemma,"['set', 'identity', 'element']"
179,Nash equilibrium,"['equilibrium', 'game', 'player']"
180,Determinantal point process,"['process', 'solution', 'system']"
181,Field (mathematics),"['set', 'plane', 'point']"
182,Mutually orthogonal Latin squares,['mutually orthogonal polygons']
183,Shape,"['figure', 'geometry', 'figure']"
184,Trace (linear algebra),"['order', 'preserve', 'transformation']"
185,Matrix exponential,"['matrix', 'function', 'combination']"
186,Weight (representation theory),"['inverse', 'measure', 'vector']"
187,Heat equation,"['change', 'temperature', 'equation']"
188,Natural transformation,"['transformation', 'preserve', 'structure']"
189,Linear differential equation,"['time', 'function', 'equation']"
190,Magnetic vector potential,"['vector quantity', 'product', 'vector']"
191,Inverse function,"['inverse', 'function', 'graph']"
192,Concatenation,"['set', 'operation', 'element']"
193,Triangle,"['polygon', 'side', 'triangle']"
194,Horizontal line test,"['slope', 'test', 'line']"
195,French curve,"['polygon', 'curve', 'midpoint']"
196,Surface area,"['area', 'measure', 'surface']"
197,Characterization (mathematics),"['description', 'object', 'mathematical']"
198,Linear discriminant analysis,"['statistical technique', 'continuous', 'normally distributed']"
199,Matrix splitting,"['eigenvalue', 'matrix', 'eigenvector']"
200,Message passing,"['communication', 'protocol', 'network']"
201,Crystal oscillator,"['frequency', 'motion', 'energy']"
202,Hadamard matrix,"['matrix', 'vector', 'rank']"
203,Linearity,"['function', 'variable', 'combination']"
204,Zero of a function,"['graph', 'point', 'x-axis']"
205,Scalar (mathematics),"['scalar', 'number', 'object']"
206,Matrix similarity,"['inverse', 'matrix', 'vector']"
207,Eccentricity (mathematics),"['radii', 'circle', 'distance']"
208,Module (mathematics),"['set', 'operation', 'arithmetic']"
209,Composition (combinatorics),"['group', 'element', 'combination']"
210,Unit square,"['length', 'side', 'square']"
211,Wave equation,"['wave', 'motion', 'equation']"
212,Non-negative matrix factorization,"['matrix', 'reduce', 'method']"
213,Resultant,"['product', 'quantity', 'sum']"
214,Midpoint,"['angle', 'right', 'side']"
215,Reciprocal length,"['length', 'line', 'axis']"
216,René Descartes,"['number', 'mathematician', 'concept']"
217,Overfitting,"['data set', 'model', 'fit']"
218,Matrix determinant lemma,"['theorem', 'proof', 'concept']"
219,Associative property,"['property', 'group', 'element']"
220,Singular value decomposition,"['set', 'number', 'product']"
221,Outline of linear algebra,"['set', 'solution', 'equation']"
222,The Doctor (Doctor Who),"['time', 'traveller', 'space']"
223,AdS/CFT correspondence,['symmetry group and symmetry property']
224,Grassmannian,"['Grassmannian curve', 'curve', 'topology']"
225,Gauss map,"['eigenvalue', 'function', 'map']"
226,Invertible matrix,"['matrix', 'inverse', 'matrix multiplication']"
227,Hyperspace,['spacetime']
228,Equation,"['relationship', 'quantity', 'statement']"
229,Half-exponential function,"['polynomial', 'function', 'exponential']"
230,Definite quadratic form,"['quadratic form', 'linear system', 'equation']"
231,Diophantine geometry,['prime number']
232,Linear programming,"['model', 'problem', 'solve']"
233,Transition kernel,"['kernel', 'point', 'function']"
234,Flow diagram,"['flow', 'diagram', 'process']"
235,Factor,"['number', 'number', 'multiplier']"
236,Lancaster University,"['university', 'mathematician', 'university']"
237,Composite number,"['prime number', 'number', 'sum']"
238,Laplace operator,"['operator', 'differential', 'function']"
239,QR code,"['barcode', 'two-dimensional']"
240,State-transition matrix,"['state', 'transition', 'system']"
241,Real coordinate space,"['set', 'point', 'coordinate']"
242,Euler angles,"['measure', 'angle', 'line']"
243,Semiprime,"['number', 'composite', 'prime']"
244,Curve,"['point', 'curve', 'function']"
245,Isaac Newton,"['number', 'scientist', 'concept']"
246,Householder transformation,"['symmetry', 'object', 'preserve']"
247,Pointwise product,"['product', 'vector', 'vector product']"
248,Cell migration,"['cell', 'move', 'place']"
249,Hamming distance,"['measure', 'distance', 'point']"
250,Composite field (mathematics),"['field', 'product', 'field']"
251,Change of base,"['change', 'system', 'number']"
252,Decoded (novel),"['series', 'cipher', 'encipher']"
253,Eigenface,"['eigenvector', 'matrix', 'surface']"
254,Insulin resistance,"['disease', 'condition', 'insulin']"
255,Quantity,['a measure of the amount of something']
256,Normed vector space,"['vector space', 'norm', 'space']"
257,Minimal polynomial (linear algebra),"['polynomial', 'zero', 'root']"
258,Common logarithm,"['digit', 'number', 'ratio']"
259,Saddle point,"['line', 'point', 'line segment']"
260,Triviality (mathematics),"['property', 'set', 'element']"
261,Sign function,"['sign', 'number', 'function']"
262,Born rule,"['polynomial', 'root', 'square']"
263,Function composition,"['function', 'function composition', 'function']"
264,Golden ratio,"['series', 'ratio', 'quantity']"
265,Parallelogram law,"['law of sines', 'law of cosines']"
266,Inverse limit,"['limit', 'number', 'interval']"
267,Property (mathematics),"['property', 'concept', 'math']"
268,Maximum principle,"['set', 'element', 'square']"
269,Infinity,"['infinitely small', 'infinitely large']"
270,Lagrange's theorem (group theory),"['theorem', 'theorem of Lagrange']"
271,Affine symmetric group,"['group', 'element', 'symmetry']"
272,Free module,"['group', 'element', 'add']"
273,Gröbner basis,"['set', 'eigenvector', 'group']"
274,Hypotenuse,"['length', 'side', 'side length']"
275,Isotropic quadratic form,"['x', 'y', 'z']"
276,Velocity,"['momentum', 'velocity', 'change']"
277,Alternating permutation,"['group', 'permutation', 'element']"
278,Parametric design,"['change', 'time', 'design']"
279,Elementary matrix,"['matrix', 'vector', 'combination']"
280,Union (set theory),"['set', 'element', 'distinct']"
281,Idempotent (ring theory),"['group', 'ring', 'degree']"
282,Force,"['vector', 'quantity', 'direction']"
283,Removable singularity,"['curve', 'point', 'shape']"
284,Modulus,"['ratio', 'ratios', 'number']"
285,Summation,"['set', 'element', 'sum']"
286,List of unsolved problems in mathematics,"['list', 'problem', 'solve']"
287,Hofstadter sequence,"['prime number', 'sequence', 'set']"
288,RRQR factorization,"['prime number', 'polynomial', 'factor']"
289,Incidence matrix,"['event', 'occurrence', 'matrix']"
290,DFT matrix,"['dimension', 'matrix', 'n']"
291,Multiplication,"['operation', 'mathematical', 'concept']"
292,Support (mathematics),"['line', 'axis', 'rotation']"
293,Icon (computing),"['character', 'character', 'symbol']"
294,Leslie matrix,"['matrix', 'form', 'ax2']"
295,0,['negative number']
296,Focus (geometry),"['point', 'focus', 'image']"
297,Partition of a set,"['set', 'element', 'number']"
298,Reciprocal polynomial,"['degree n', 'polynomial', 'coefficient']"
299,Sparse matrix,"['matrix', 'zero', 'zeros']"
300,Space (mathematics),"['a plane', 'vector', 'region']"
301,Tetrahedron,"['polygon', 'figure', 'side']"
302,Affine space,"['space', 'pattern', 'point']"
303,Integer factorization,['prime factorization']
304,Mathematical proof,"['theorem', 'result', 'prove']"
305,Universal approximation theorem,"['theorem', 'proof', 'concept']"
306,Transpose,"['inverse', 'ratio', 'multiply']"
307,Euclid,"['figure', 'geometry', 'figure']"
308,Degree of a polynomial,"['degree', 'polynomial', 'term']"
309,Binomial coefficient,"['number', 'term', 'expansion']"
310,Geometry,"['set', 'rule', 'describe']"
311,Hyperbola,"['hyperbola', 'curve', 'point']"
312,Positive-definite function,"['positive-definiteness', 'definiteness']"
313,Annuity,"['periodic payment', 'payment', 'interest']"
314,Transformation matrix,"['matrix', 'transform', 'matrix algebra']"
315,H-index,"['citation', 'work', 'receive']"
316,Trinomial,"['polynomial', 'function', 'graph']"
317,Semisimple operator,"['operator', 'mathematical', 'not']"
318,String theory,"['quantum theory', 'quantum mechanics']"
319,Hermitian matrix,"['matrix', 'vector', 'combination']"
320,Perimeter,"['diameter', 'circle', 'length']"
321,Distance,"['measure', 'distance', 'point']"
322,Graph isomorphism problem,"['graph', 'point', 'set']"
323,Indigenous education,"['population', 'education', 'system']"
324,Matrix theory (physics),"['set', 'matrix', 'matrix product']"
325,Transfer operator,"['operator', 'value', 'transfer']"
326,Minimum wage,"['hourly rate', 'pay', 'employee']"
327,Imaginary unit,['number that is neither real nor a real number']
328,Factorial experiment,"['increase', 'decrease', 'factor']"
329,Vertical tangent,"['line', 'tangent', 'line segment']"
330,Gram matrix,"['group', 'matrix', 'element']"
331,Normal operator,"['operator', 'scalar', 'combination']"
332,Spectral theory,"['spectra', 'theory', 'function']"
333,Standard basis,"['arithmetic mean', 'number', 'set']"
334,Order of a polynomial,"['degree', 'polynomial', 'number']"
335,Oscillator representation,"['scalar', 'function', 'representation']"
336,Smith normal form,"['set', 'group', 'equivalence']"
337,Taylor's theorem,['Fourier transform']
338,Terminal velocity,"['speed', 'body', 'accelerate']"
339,Cartan–Dieudonné theorem,"['theorem', 'proof', 'concept']"
340,Alpha Centauri Bb,"['binary star system', 'binary star', 'orbit']"
341,Automatic differentiation,"['discrete function', 'continuous function']"
342,Cauchy sequence,"['number sequence', 'sum', 'sequence']"
343,Diophantine equation,"['polynomial', 'equation', 'unknown']"
344,Ideal gas,"['gas', 'pressure', 'volume']"
345,Attractor,"['line', 'point', 'converge']"
346,Projection (linear algebra),"['vector', 'space', 'map']"
347,Theory of relativity,"['theory', 'gravity', 'theory']"
348,Positive feedback,"['negative feedback', 'feedback', 'gain']"
349,Finite field arithmetic,"['field', 'arithmetic', 'field theory']"
350,Angle,"['measure', 'angle', 'line']"
351,Diagonalization,"['line', 'x-axis', 'segment']"
352,Interest rate,"['change', 'rate', 'change']"
353,Fast Fourier transform,"['transform', 'frequency', 'signal']"
354,Dependent and independent variables,['dependent and independent variables']
355,Primary color,"['color', 'color', 'mix']"
356,Rigid rotor,"['rotor', 'axis', 'rotorcraft']"
357,Recurrence relation,"['periodic function', 'zero', 'one']"
358,Vector calculus,"['vector', 'theory', 'vector space']"
359,Binomial (polynomial),"['polynomial', 'function', 'graph']"
360,Surface (mathematics),"['polygon', 'figure', 'side']"
361,Dynamical system,"['change', 'state', 'equation']"
362,Disjoint sets,"['set', 'element', 'elemental']"
363,Line (geometry),"['line', 'straight', 'line segment']"
364,Direct sum of modules,"['set', 'group', 'element']"
365,Definable,"['number', 'function', 'parameter']"
366,Input–output model,"['model', 'economy', 'output']"
367,Y-intercept,"['graph', 'point', 'y-axis']"
368,Symmetric matrix,"['matrix', 'row', 'column']"
369,Gauss's method,"['averaging', 'solve', 'equation']"
370,Magic square,"['cell', 'side', 'square']"
371,Completing the square,"['complete', 'side', 'square']"
372,Self-adjoint operator,"['derivative', 'function', 'combination']"
373,Edge (geometry),"['surface', 'line', 'segment']"
374,Magnitude (mathematics),"['ratio', 'number', 'digit']"
375,Hamming code,"['binary number', 'code', 'number']"
376,Multiplicative function,['Multiplication']
377,Herbert Wilf,"['number', 'orchestra', 'symphony']"
378,Andrey Markov,"['probability', 'model', 'generate']"
379,Direct proof,"['proof', 'argument', 'logic']"
380,Probability measure,"['measure', 'event', 'probability']"
381,Mean squared error,['a measure of the average squared error in a statistical estimate']
382,Cubic function,"['function', 'value', 'return']"
383,Triangular prism,"['face', 'edge', 'figure']"
384,Atlas (topology),"['topology', 'space', 'map']"
385,Hadamard product (matrices),"['product', 'matrix', 'matrix product']"
386,Foundations of mathematics,"['axiom', 'mathematics', 'concept']"
387,Hilbert projection theorem,"['theorem', 'proof', 'concept']"
388,Matrix (mathematics),"['array', 'element', 'dimension']"
389,Google,"['search', 'engine', 'word']"
390,Transverse wave,"['wave', 'travel', 'line']"
391,PageRank,['Web page rank']
392,Support vector machine,"['predict', 'classifier', 'output']"
393,Total internal reflection,"['wave', 'surface', 'reflection']"
394,System of equations,"['set', 'equation', 'connect']"
395,Anil Nerode,"['group', 'symplectic', 'group property']"
396,Geometric series,"['number', 'sequence', 'sum']"
397,Geometry processing,"['set', 'operation', 'point']"
398,Line segment,"['line', 'segment', 'line']"
399,Rise time,"['time', 'surface', 'wave']"
400,Examples of vector spaces,"['vector', 'space', 'spacetime']"
401,Tensor operator,"['operator', 'scalar', 'vector']"
402,Euler's formula,"['area', 'triangle', 'formula']"
403,Weierstrass factorization theorem,"['theorem', 'proof', 'concept']"
404,Complex plane,"['plane', 'real', 'imaginary']"
405,Nullity (graph theory),"['directed graph', 'edge', 'graph']"
406,Bernstein polynomial,"['coefficient', 'polynomial', 'a']"
407,Reverse mathematics,"['inverse', 'ratio', 'multiply']"
408,Multiview orthographic projection,"['plane', 'scene', 'projection']"
409,Phase (waves),"['change', 'phase', 'wave']"
410,Condition number,"['system', 'equilibrium', 'measure']"
411,Modular arithmetic,"['arithmetic', 'number', 'whole']"
412,Polarization identity,"['polarization', 'vector space', 'property']"
413,Fundamental theorem of linear algebra,"['theorem', 'proof', 'concept']"
414,Composition operator,"['product', 'function', 'number']"
415,Semidirect product,"['product', 'vector', 'vector product']"
416,BCH code,"['bit', 'integer', 'number']"
417,Generalized inverse,"['inverse', 'function', 'function']"
418,Delay differential equation,"['time', 'function', 'equation']"
419,Hyperplane,"['line', 'plane', 'perpendicular']"
420,Fibonacci cube,"['Fibonacci number', 'sequence', 'square']"
421,Bilinear form,"['x-coordinate', 'y-coordinate', 'point']"
422,Lagrange polynomial,"['differential equation', 'solution', 'polynomial']"
423,CP violation,"['group', 'Lie', 'symmetry']"
424,Regular representation,"['set', 'element', 'representation']"
425,Implicit function,"['function', 'argument', 'define']"
426,Euclidean space,"['dimensionality', 'space', 'number']"
427,Identity matrix,"['identity matrix', 'matrix', 'element']"
428,Normal fan,"['speed', 'fan', 'rotate']"
429,Monotonic function,"['continuous', 'function', 'parameter']"
430,Algebraically closed field,"['Field', 'element', 'field']"
431,Axiom of countable choice,"['set', 'element', 'number']"
432,Trigonometric interpolation,"['interpolation', 'curve', 'point']"
433,Glossary of string theory,"['collection', 'term', 'concept']"
434,Form factor (electronics),"['size', 'board', 'circuit']"
435,Pearson correlation coefficient,"['measure', 'relationship', 'variable']"
436,Desargues's theorem,"['theorem', 'geometry', 'proof']"
437,Orthogonal instruction set,"['arithmetic', 'instruction', 'operation']"
438,Sustainable Development Goal 4,"['percentage', 'target', 'energy']"
439,Quadratic,"['polynomial', 'function', 'graph']"
440,Block matrix,"['matrix', 'block', 'diagonal']"
441,Simultaneous equations model,"['differential equation', 'model', 'system']"
442,Bogoliubov transformation,"['symmetry', 'group', 'transformation']"
443,Tensor,"['vector', 'function', 'value']"
444,History of the function concept,"['concept', 'function', 'history']"
445,Nilpotent matrix,"['matrix', 'diagonal', 'element']"
446,Flat Earth,"['spherical geometry', 'sphere']"
447,Decomposition (disambiguation),"['decomposition', 'function', 'graph']"
448,Chromatic polynomial,"['range', 'polynomial', 'coefficient']"
449,Argument,"['product', 'number', 'quantity']"
450,Permutation,"['set', 'element', 'combination']"
451,Complex number,"['digit', 'number', 'digits']"
452,Conjecture,"['theorem', 'fact', 'theory']"
453,Borel equivalence relation,"['set', 'relation', 'number']"
454,Midpoint method,"['set', 'number', 'average']"
455,Auxiliary function,['identity function']
456,Radius (disambiguation),"['diameter', 'circle', 'radius']"
457,Nullity theorem,"['set', 'number', 'real']"
458,Positive operator (Hilbert space),"['Hilbert space', 'real line', 'function']"
459,Set theory,"['set theory', 'theory of numbers']"
460,Projective space,"['line', 'point', 'space']"
461,Finite difference,"['method', 'solve', 'equation']"
462,Modulo (mathematics),"['number', 'multiple', 'number']"
463,Real number,"['number', 'number system', 'real number']"
464,Induced homomorphism,"['group', 'subset', 'map']"
465,Fisher's exact test,"['test', 'variance', 'equality']"
466,Power associativity,"['property', 'subgroup', 'group']"
467,Exponential function,"['increase', 'decrease', 'function']"
468,Graph (discrete mathematics),"['graph theory', 'directed graph']"
469,Diagonal,"['line', 'x-axis', 'segment']"
470,Echelon formation,"['group', 'triangle', 'number']"
471,Staircase paradox,"['function', 'problem', 'solution']"
472,Group representation,"['group', 'set', 'element']"
473,Ideal (ring theory),"['group', 'ring', 'subset']"
474,Frobenius inner product,"['product', 'vector', 'vector product']"
475,Right Sector,"['tangent', 'circle', 'circumference']"
476,Spacetime triangle diagram technique,"['metric', 'spacetime', 'geometry']"
477,Log-polar coordinates,"['logarithm', 'scale', 'number']"
478,Production function,"['resource', 'amount', 'function']"
479,Mathematical statistics,"['probability theory', 'statistics']"
480,Differentiable function,"['point', 'function', 'evaluate']"
481,Euclidean geometry,"['geometry', 'figure', 'property']"
482,Anthropic principle,"['determinism', 'choice', 'universe']"
483,Skew-symmetric graph,"['graph', 'chord', 'edge']"
484,Covariance matrix,"['covariance matrix', 'variance']"
485,Antipodal point,"['latitude', 'point', 'origin']"
486,Additive inverse,"['inverse', 'function', 'graph']"
487,Linear subspace,"['subspace', 'linear space', 'space']"
488,Generalized eigenvector,['orthogonal matrix']
489,Image (mathematics),"['representation', 'object', 'mathematical']"
490,Accelerating change,"['change', 'rate', 'change']"
491,Quotient space (topology),"['topological space', 'subset']"
492,Penrose triangle,"['tangent', 'circumcircle', 'triangle']"
493,Random number generation,"['Random', 'number', 'generator']"
494,Horizontal convective rolls,"['surface', 'convexity', 'curve']"
495,S-box,"['surface', 'box', 'top']"
496,Quotient space (linear algebra),"['set', 'subset', 'space']"
497,Graph theory,['Graph theory']
498,Local optimum,"['point', 'solution', 'problem']"
499,Dual module,"['matrices', 'set', 'element']"
500,Sense,['a measure of the extent to which something is a part of the whole']
501,Eigenvector centrality,"['Eigenvector', 'eigenspace', 'eigenvector centrality']"
502,Last Supper,"['meal', 'centre', 'attention']"
503,Principal component analysis,"['data set', 'variable', 'reduce']"
504,Plane stress,"['stress', 'surface', 'apply']"
505,Reciprocal gamma function,"['gamma', 'function', 'reciprocal']"
506,Conjugate element (field theory),"['field theory', 'element', 'conjugate']"
507,Straight-line grammar,"['rule', 'grammar', 'line']"
508,Numbers (season 5),"['digit', 'series', 'number']"
509,Inclusion map,"['set', 'element', 'map']"
510,Complemented subspace,"['subspace', 'copy', 'space']"
511,Conjugate transpose,"['inverse', 'function', 'graph']"
512,Computer algebra system,"['arithmetic', 'logical', 'program']"
513,Schur's theorem,"['theorem', 'geometry', 'proof']"
514,Crank–Nicolson method,"['matrix', 'eigenvalue', 'eigenvector']"
515,Cardioid,"['tangent', 'radius', 'circle']"
516,Polynomial ring,"['ring', 'polynomial', 'degree']"
517,Equivalence relation,"['inverse', 'relation', 'relational']"
518,Atmospheric lidar,"['atmosphere', 'light', 'source']"
519,Antiparallelogram,"['figure', 'vertices', 'parallel']"
520,Vertex (geometry),"['line segment', 'midpoint']"
521,Bessel's inequality,['positive constant']
522,Consistent and inconsistent equations,['equivalent']
523,Display Stream Compression,"['data compression', 'lossy', 'algorithm']"
524,Kindergarten,"['school', 'age', 'seven']"
525,Constant (mathematics),"['number', 'number', 'change']"
