wiki_concept,pages
Number line,"218, 600"
Object,397
Ohm's law,30
One-hot,477
Optical path length,75
Orbital state vectors,"135, 137"
Ordinary differential equation,"368, 403"
Ordinary least squares,311
Origin (mathematics),209
Orthogonal basis,"287, 416, 549"
Orthogonal complement,"418, 484, 551"
Orthogonal coordinates,"286, 547"
Orthogonal diagonalization,"181, 424, 425, 427, 465, 557"
Orthogonal functions,424
Orthogonal group,"418, 431, 484"
Orthogonal matrix,"160, 420, 424, 439, 461"
Orthogonal polynomials,"286, 474"
Orthogonality,"285, 415, 424, 484"
Orthonormal basis,"285, 415, 503, 508, 518, 550, 559"
Orthonormality,"285, 466, 547"
PageRank,189
Parabola,491
Parallel (geometry),238
Parallel processing,217
Parallelepiped,"247, 255"
Parallelogram law,"110, 212, 601"
Parameter,"14, 2"
Parametric equation,"2, 219"
Parity (mathematics),"354, 482"
Parity bit,479
Parseval's identity,556
Particle swarm optimization,497
Partition (number theory),189
Pearson correlation coefficient,"324, 326"
Permutation matrix,"123, 432, 521"
Perpendicular,226
Perron–Frobenius theorem,"185, 441"
Phasor,140
Philip Davis,553
Philosophiæ Naturalis Principia Mathematica,11
Physical property,539
Pierre-Simon Laplace,148
Pigeonhole principle,614
Plane,"233, 264, 572"
Plane (geometry),"233, 234"
Pless conference,484
Poincaré recurrence theorem,406
Point reflection,160
Pointwise,"332, 333"
Polar coordinate system,601
Polar decomposition,455
Polygon triangulation,430
Polynomial,"319, 332, 623"
Polynomial expansion,61
Polynomial interpolation,"165, 166"
Polynomial-time reduction,613
Position (geometry),213
Position (team sports),"110, 601"
Position angle,"110, 601"
Positive Thinking,455
Positive definiteness,"433, 497"
Power iteration,"185, 441, 442"
Poynting vector,48
Prefix code,"477, 478, 481, 485"
Prime number,"474, 614"
Primitive root modulo n,474
Principal axis theorem,"425, 465, 468, 498, 561"
Principal component analysis,"442, 500, 501"
Probability,134
Probability theory,501
Product rule,404
Projection,"114, 230, 251, 418, 420"
Projection (linear algebra),"251, 311, 420, 421, 534, 552, 564"
Projection matrix,"423, 432, 63"
Projection-slice theorem,"311, 420, 552"
Projective plane,264
Projective space,218
Proof by contradiction,613
Property (disambiguation),377
Pseudorandom number generator,482
Pythagorean theorem,"221, 228, 286, 547, 612"
QR algorithm,443
QR decomposition,"437, 438"
Quadratic equation,"497, 606"
Quadratic form,"429, 487, 494, 541, 606"
Quadratic formula,606
Quadratic irrational number,609
Quadrilateral,246
Quantum group,35
Quotient,473
ROOT,"174, 441, 597"
Radian,"111, 60, 601"
Random number generation,482
Random variable,500
Rank,"16, 291, 383"
Rank (linear algebra),"21, 291, 49, 494"
Rational number,330
Rayleigh quotient,442
Reaction rate,32
Real coordinate space,"282, 287, 462, 537"
Real number,"1, 210, 330, 332, 461, 465, 47, 474"
Real-valued function,332
Recurrence,193
Recurrence relation,"172, 406"
Recursion (computer science),11
Reduced cost,119
Reduction,531
Reflection,"113, 251"
Reflection (mathematics),"569, 572, 575"
Regular matrix,139
Regular representation,"522, 600"
Remainder,473
Repeller,187
Restriction,524
Result,67
Rhombus,230
Right-hand rule,248
Root mean square,500
Root of unity,"604, 605"
Root-finding algorithms,"340, 441, 597"
Rotation,"111, 254, 575"
Rotation (mathematics),254
Rotation around a fixed axis,575
Rotation matrix,"111, 131, 513"
Round-off error,175
Routh–Hurwitz stability criterion,434
Row and column spaces,"290, 445"
Row and column vectors,"172, 35, 47, 96"
Row echelon form,"10, 100, 11, 120, 290, 35"
Row equivalence,103
Row- and column-major order,"172, 36"
Saddle point,188
Salt (cryptography),472
Sample mean and covariance,322
Sampling (statistics),322
Scalar,"330, 39, 474"
Scalar (mathematics),"330, 47"
Scalar (physics),"104, 474"
Scalar multiplication,"215, 330, 332, 333, 334, 39, 40"
Scatter plot,323
Scene graph,491
Schur's theorem,"467, 468"
Self-adjoint operator,559
Self-similarity,518
Sensitivity analysis,128
Sequence,"406, 47"
Set (mathematics),263
Set-builder notation,264
Shannon coding,477
Shape,35
Shear and moment diagram,61
Shear mapping,575
Shear modulus,61
Shift operator,410
Sign (disambiguation),146
Signed distance function,397
Similarity (geometry),431
Simple harmonic motion,371
Simplex,285
Simplex algorithm,"17, 500"
Sine and cosine,"111, 227, 556, 601"
Singular value,"447, 467"
Singular value decomposition,"38, 445, 451, 494"
Skew-Hermitian matrix,471
Skew-symmetric matrix,"35, 46, 528, 563"
Smith normal form,99
Snake lemma,404
Software-defined,43
Solve,174
Span,"266, 341"
Sparse matrix,38
Spearman's rank correlation coefficient,324
Spectral theorem,"426, 468"
Spectrum,426
Spectrum of a matrix,426
Sphere,499
Spline (mathematics),553
Square,79
Square root,"625, 626"
Staircase paradox,10
Standard basis,"106, 268, 272, 277, 278, 349, 461"
Standard deviation,"323, 501"
Standard error,"314, 483"
State vector,137
Steady state,130
Stochastic matrix,"130, 134, 136"
Structure theorem,570
Student's t-test,"323, 324"
Subset,263
Subspace,276
Subtraction,38
Sum,"270, 360"
Summation,30
Summation notation,205
Survival analysis,171
Sylvester's law of inertia,494
Symmetric bilinear form,497
Symmetric form,"225, 487"
Symmetric matrix,"307, 494"
System of differential equations,199
System of linear equations,"1, 14, 16, 2, 20, 21, 3, 32, 4, 48, 49, 5, 63, 82, 9"
Taylor's theorem,"311, 364, 515"
Tetrahedron,225
Theorem,"158, 168, 291, 615"
Thermal conduction,577
Time-utility function,172
Toeplitz matrix,"4, 444"
Topological vector space,"329, 334, 392"
Trace,"299, 376, 518, 79"
Trace (linear algebra),"513, 516"
Trajectory,187
Trajectory inference,187
Transfer function matrix,130
Transformation,"378, 503, 505, 59"
Transformation matrix,"113, 376, 503, 504, 58, 59, 90"
Transition matrix,"135, 136"
Transitive relation,406
Translation (geometry),"380, 564, 61"
Transpose,"376, 42, 50"
Triangle inequality,"244, 543, 599"
Triangular matrix,"118, 119, 128, 14, 154, 173, 174, 368, 369, 465, 467, 469, 518, 519, 524, 525, 583"
Tridiagonal matrix,194
Trigonometric functions,111
Trivial group,"271, 345"
Triviality (mathematics),"173, 20"
Tuple,"263, 275, 290, 330, 47, 54"
Turtle graphics,258
Unbounded operator,524
Uncorrelatedness (probability theory),501
Unit circle,"110, 542, 601"
Unit cube,256
Unit sphere,"499, 541"
Unit square,256
Unit vector,"215, 218, 282, 463, 541"
Unitary matrix,466
Universal approximation theorem,"552, 578"
Vandermonde matrix,"153, 167, 505"
Variance,"322, 323, 501"
Vector,"330, 341, 47"
Vector (mathematics and physics),212
Vector calculus,"218, 228, 368, 47"
Vector field,"263, 330"
Vector graphics,322
Vector multiplication,48
Vector space,"209, 21, 24, 3, 306, 329, 330, 331, 333, 335, 338, 349, 363, 397, 47, 576"
Vectorization,341
Velocity,211
Vertex (graph theory),75
Vibration,499
Viscosity,61
Volume,255
Volume of an n-ball,478
Web server directory index,494
White noise,472
Whole number,611
"Words, Words, Words (disambiguation)",477
Wronskian,373
Zero divisor,85
Zero element,"263, 330"
Zero matrix,38
Zero object (algebra),336
