wiki_concept,pages
Negative number,434
Newton's law of cooling,749
Nominal interest rate,641
Nonlinear programming,850
Nonlinear system,843
Nth root,"182, 47, 52, 53"
Number line,13
One-sided limit,194
Order of magnitude,744
Order of operations,15
Ordered pair,"102, 213, 242"
Origin (mathematics),"102, 339"
Outcome,"1109, 1133"
Output,214
Parabola,"1000, 1004, 1028, 1030, 1031, 462, 466, 473, 837, 843, 989, 995, 999"
Parallel,129
Parallel (geometry),"403, 405"
Parent function,689
Partial fraction decomposition,"860, 861"
Partial least squares regression,440
Pascal's triangle,"1122, 1126"
Perfect square,64
Perimeter,142
Permutation,1113
Perpendicular,"130, 404, 405"
Phase (waves),"306, 651, 656, 689"
Phon,741
Piecewise,"1054, 252"
Plane (geometry),821
Polar coordinate system,1029
Polynomial,"486, 494, 511, 518, 524, 551, 60"
Pourbaix diagram,710
Probability,"1109, 1133"
Product rule,"712, 714"
Profit maximization,814
Proportionality (mathematics),"609, 610, 611, 612, 613"
Proxima Centauri (disambiguation),744
Pythagorean theorem,"108, 174"
Quadrant (plane geometry),102
Quadratic,"864, 866"
Quadratic equation,"164, 170, 171, 186"
Quadratic form,469
Quadratic formula,"171, 172, 173"
Quadratic function,"462, 468, 469, 472"
Quotient,537
Quotient ring,707
Quotient rule,713
Radical,47
Radical of an integer,595
Radiocarbon calibration,747
Radius,949
Rate (mathematics),"259, 262, 421"
Rational expression,"121, 84, 860, 861, 866"
Rational function,"571, 579, 583"
Rational number,"11, 121, 14"
Rational root theorem,"551, 552"
Real number,13
Reciprocal,"130, 350, 490"
Recursion,"1057, 1071, 1072, 1085"
Reflection symmetry,973
Regression analysis,"765, 769, 772"
Relation,"209, 213, 237"
Remainder,537
Residual sum of squares,564
Restriction (mathematics),358
Riemann zeta function,"1095, 466, 512, 517, 553"
Row and column spaces,69
Row and column vectors,873
Row echelon form,"885, 886, 891, 893, 894"
Row equivalence,891
Rule of 72,748
Rule of product,"1110, 1113"
Sample space,"1131, 1133"
Scalar,876
Scalar multiplication,"871, 876"
Scatter plot,"434, 436, 762"
Scientific notation,"15, 39, 40"
Semi-major and semi-minor axes,"952, 954, 956, 969, 973"
Sequence,"1048, 1050, 1052, 1069"
Series (mathematics),1101
Set (mathematics),1131
Set-builder notation,"191, 244"
Shot grouping,74
Sigma,1095
Slope,"125, 259, 382"
Solution set,"120, 826"
Specular reflection,"660, 696"
Sphere,489
Square matrix,"873, 902, 924"
Square root,47
Square root of 2,"169, 948"
Standard form,128
Statistical model,"1131, 1133"
Stretch,658
Subset,45
Summary,69
Summation,1095
Summation notation,"1092, 1095"
Surface area,595
Symmetric matrix,462
Synthetic division,"540, 553"
System of equations,"889, 890, 893, 894, 913"
System of linear equations,"426, 803, 805, 806, 807, 821, 927"
Tangent half-angle substitution,806
Time-invariant system,"804, 813, 831"
Transformation,"300, 303, 395"
Translation (geometry),"303, 395, 651, 656, 691, 749, 956"
Triangular matrix,826
Trinomial,"486, 60"
Tuple,"822, 826"
Variable,20
Vertex,"1003, 462, 466, 953, 954, 969, 996"
Vertex (graph theory),"953, 954"
Vertical line test,"128, 227, 348, 401, 402"
Volume,142
Whole number,"11, 14"
Y-intercept,"106, 382"
Young's inequality for products,849
Zero of a function,548
Zero-product property,"164, 509, 707"
