wiki_concept,pages
Spectral density,"336, 344"
Spectral theorem,"3, 148, 159"
Spectral theory,"337, 344"
Spectrum (disambiguation),336
Square root,341
Standard deviation,41
Subset,"381, 388"
Surjective function,391
Symmetric bilinear form,"362, 367, 370, 872"
Symmetric group,"15, 153"
Symmetric matrix,"3, 35, 210"
System of linear equations,"3, 4, 36"
Tensor product,"273, 277"
The Zero Theorem,323
Timeline of manifolds,202
Topological vector space,84
Toral subalgebra,207
Trace operator,"199, 397"
Transformation (function),3
Transformation matrix,"67, 76, 79, 87, 88, 329, 341"
Transpose,114
Triangular matrix,"27, 155, 326"
Triangulation (surveying),207
Triangulation (topology),"203, 207, 334"
Tuple,29
Unary operation,343
Union (set theory),388
Unitary matrix,317
Unitary operator,71
Unitary transformation,302
Vandermonde matrix,"125, 230"
Variable (mathematics),71
Vector space,"28, 29, 36, 38, 41, 44"
Volterra operator,222
Wronskian,"40, 47"
Zero matrix,12
